iter	Passed	Remaining
283	4413	34434
284	4428	34418
285	4443	34398
286	4454	34348
287	4465	34298
288	4479	34270
289	4493	34245
290	4506	34212
291	4522	34198
292	4535	34165
293	4550	34141
294	4565	34124
295	4580	34104
296	4595	34089
297	4609	34062
298	4627	34061
299	4642	34041
300	4659	34042
301	4675	34027
302	4690	34007
303	4706	33999
304	4720	33971
305	4733	33937
306	4747	33913
307	4762	33892
308	4776	33871
309	4802	33930
310	4821	33935
311	4834	33906
312	4846	33863
313	4860	33835
314	4874	33810
315	4890	33799
316	4907	33794
317	4921	33771
318	4937	33760
319	4953	33746
320	4966	33716
321	4978	33674
322	4993	33652
323	5010	33650
324	5026	33639
325	5043	33634
326	5057	33610
327	5072	33587
328	5087	33573
329	5106	33581
330	5127	33598
331	5143	33589
332	5179	33707
333	5257	34095
334	5290	34191
335	5323	34283
336	5344	34300
337	5363	34304
338	5382	34308
339	5400	34309
340	5420	34317
341	5438	34317
342	5457	34318
343	5474	34308
344	5490	34295
345	5506	34283
346	5523	34271
347	5539	34257
348	5556	34246
349	5571	34222
350	5586	34203
351	5602	34185
352	5618	34171
353	5636	34169
354	5652	34155
355	5669	34142
356	5686	34135
357	5699	34101
358	5713	34074
359	5728	34050
360	5743	34028
361	5757	34003
362	5770	33968
363	5782	33932
364	5794	33896
365	5808	33868
366	5823	33847
367	5838	33825
368	5852	33798
369	5865	33764
370	5878	33736
371	5891	33703
372	5902	33656
373	5963	33898
374	5994	33970
375	6022	34020
376	6037	33999
377	6050	33967
378	6061	33924
379	6076	33898
380	6086	33852
381	6098	33813
382	6110	33776
383	6122	33736
384	6134	33698
385	6146	33661
386	6160	33636
387	6171	33590
388	6182	33550
389	6194	33515
390	6207	33483
391	6217	33435
392	6230	33401
393	6242	33367
394	6257	33349
395	6268	33303
396	6279	33264
397	6292	33235
398	6306	33206
399	6320	33182
400	6330	33137
401	6343	33108
402	6358	33086
403	6372	33059
404	6388	33047
405	6402	33023
